,tweet_content,tweet_date,Sentiment,sentiment_score,hashtags,id_dist
0,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,Neutral 💛,0.8428390026092529,Europe,1
1,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,Neutral 💛,0.8428390026092529,Football,1
2,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,Neutral 💛,0.8428390026092529,European Union,1
3,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,Neutral 💛,0.8428390026092529,World,1
4,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Feminism,2
5,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Inclusion,2
6,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Gender,2
7,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Diversity And Inclusion,2
8,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Diversity,2
9,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Human Rights,2
10,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Humanity,2
11,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Equality,2
12,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Womens Rights,2
13,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Justice,2
14,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,Negative 😡,0.9106754064559937,Gender Equality,2
15,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Schools,3
16,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Football Lessons,3
17,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Life Lessons,3
18,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Experience,3
19,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Life,3
20,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Lessons Learned,3
21,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Football,3
22,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,Positive ❤️,0.7077057957649231,Learning,3
23,manchester united are monitoring eberechi eze and might make a move for the england forward next summer mennewsdesk httpstcobelsbeicga,2024-09-10 11:24:17,Positive ❤️,0.6010781526565552,Soccer,4
24,manchester united are monitoring eberechi eze and might make a move for the england forward next summer mennewsdesk httpstcobelsbeicga,2024-09-10 11:24:17,Positive ❤️,0.6010781526565552,United,4
25,manchester united are monitoring eberechi eze and might make a move for the england forward next summer mennewsdesk httpstcobelsbeicga,2024-09-10 11:24:17,Positive ❤️,0.6010781526565552,United States,4
26,manchester united are monitoring eberechi eze and might make a move for the england forward next summer mennewsdesk httpstcobelsbeicga,2024-09-10 11:24:17,Positive ❤️,0.6010781526565552,Defi,4
