Unnamed: 0,tweet_content,tweet_date,tweet_location,hashtag,sentiment_score,Sentiment,id_dist,emotion
0,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,,Football,0.8428390026092529,Neutral 💛,861f2e36-edb5-48de-aae1-0861ab23d7bf,neutral
1,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,,World,0.8428390026092529,Neutral 💛,861f2e36-edb5-48de-aae1-0861ab23d7bf,neutral
2,our fans our players our summer this is your threelions squad announcement video for euro httpstcoqugnzgsp,2024-06-06 18:00:20,,Europe,0.8428390026092529,Neutral 💛,861f2e36-edb5-48de-aae1-0861ab23d7bf,neutral
3,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,Usa,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
4,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,United States,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
5,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,New York City,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
6,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,World,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
7,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,New York,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
8,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,America,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
9,man dies at yorkshire dales hotspot at the weekend as people flocked to enjoy the summer heat yes this is yorkshire england its only a conspiracy theory youre just a far right edl thug httpstcooqxxle,2024-08-13 14:55:10,,Cities,0.9106754064559937,Negative 😡,3077c968-fe8d-4b8b-82a9-b1a8f4f5d558,sadness
10,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,,Football Hall Of Fame,0.7077057957649231,Positive ❤️,98fc4de4-f877-464c-8fb4-e6461997a591,anger
11,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,,Life,0.7077057957649231,Positive ❤️,98fc4de4-f877-464c-8fb4-e6461997a591,anger
12,for the people mocking lee carsley being a possible replacement for gareth southgate watch this video he had the us playing some of the best football ive ever seen an england team play when they won the euros last summer httpstcodpfhxvfi,2024-07-16 17:25:57,,Football,0.7077057957649231,Positive ❤️,98fc4de4-f877-464c-8fb4-e6461997a591,anger
